Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 24, 2018",0.876012,0.96561,0.873566,0.934781,1572930000,34292500000
"Apr 23, 2018",0.866578,0.88629,0.863304,0.876657,674545000,33903000000
"Apr 22, 2018",0.86682,0.911901,0.848091,0.869995,946399000,33912400000
"Apr 21, 2018",0.925021,0.925021,0.821113,0.873103,1563970000,36189400000
"Apr 20, 2018",0.791172,0.938354,0.791172,0.924465,2344070000,30952900000
"Apr 19, 2018",0.712059,0.791976,0.706841,0.791976,878328000,27857700000
"Apr 18, 2018",0.657052,0.721426,0.657052,0.708932,624049000,25705700000
"Apr 17, 2018",0.66489,0.677356,0.654346,0.656933,442353000,26012300000
"Apr 16, 2018",0.682296,0.687165,0.63861,0.663297,531996000,26693300000
"Apr 15, 2018",0.634883,0.682534,0.634143,0.682534,609637000,24838400000
"Apr 14, 2018",0.63738,0.661508,0.616307,0.632184,626268000,24936100000
"Apr 13, 2018",0.630093,0.693112,0.605816,0.638087,1245170000,24651000000
"Apr 12, 2018",0.538657,0.644518,0.506543,0.628737,1346740000,21058600000
"Apr 11, 2018",0.492568,0.548455,0.489026,0.539506,341707000,19256700000
"Apr 10, 2018",0.492134,0.493645,0.482839,0.491931,154495000,19239800000
"Apr 09, 2018",0.501201,0.512142,0.482573,0.491855,271775000,19594200000
"Apr 08, 2018",0.488227,0.501418,0.487591,0.500398,137548000,19087000000
"Apr 07, 2018",0.476851,0.495667,0.474575,0.487867,209076000,18642300000
"Apr 06, 2018",0.494781,0.49809,0.465615,0.476431,218156000,19343200000
"Apr 05, 2018",0.50195,0.505882,0.48449,0.495801,358755000,19623500000
"Apr 04, 2018",0.554569,0.563117,0.498487,0.501631,415258000,21680600000
"Apr 03, 2018",0.501533,0.562698,0.499658,0.558044,578239000,19607200000
"Apr 02, 2018",0.486067,0.510446,0.478596,0.500688,262342000,19002500000
"Apr 01, 2018",0.513854,0.515437,0.466223,0.485081,297869000,20088900000
"Mar 31, 2018",0.510617,0.529406,0.505167,0.512353,293208000,19962300000
"Mar 30, 2018",0.513268,0.531276,0.484362,0.509565,518219000,20065800000
"Mar 29, 2018",0.577767,0.57864,0.511511,0.511511,420550000,22587400000
"Mar 28, 2018",0.577511,0.594023,0.572828,0.578002,258298000,22577300000
"Mar 27, 2018",0.599026,0.604332,0.565132,0.577917,351381000,23418400000
"Mar 26, 2018",0.642683,0.644121,0.585922,0.599463,384505000,25125200000
"Mar 25, 2018",0.638632,0.657213,0.631901,0.641875,229352000,24966800000
