,id,name,symbol,website_slug
300,1022,LEOcoin,LEO,leocoin
301,1026,Aeon,AEON,aeon
302,1027,Ethereum,ETH,ethereum
303,1028,SJWCoin,SJW,sjwcoin
304,1032,TransferCoin,TX,transfercoin
305,1033,GuccioneCoin,GCC,guccionecoin
306,1035,AmsterdamCoin,AMS,amsterdamcoin
307,1038,Eurocoin,EUC,eurocoin
308,1042,Siacoin,SC,siacoin
309,1044,Global Currency Reserve,GCR,global-currency-reserve
310,1048,SatoshiMadness,MAD,satoshimadness
311,1050,Shift,SHIFT,shift
312,1052,VectorAI,VEC2,vector
313,1053,Bolivarcoin,BOLI,bolivarcoin
314,1058,SpaceCoin,SPACE,spacecoin
315,1063,Bitcrystals,BCY,bitcrystals
316,1066,Pakcoin,PAK,pakcoin
317,1069,Influxcoin,INFX,influxcoin
318,1070,Expanse,EXP,expanse
319,1082,SIBCoin,SIB,sibcoin
320,1084,IslaCoin,ISL,islacoin
321,1085,Swing,SWING,swing
322,1087,Factom,FCT,factom
323,1089,ParallelCoin,DUO,parallelcoin
324,1090,Save and Gain,SANDG,save-and-gain
325,1093,Prototanium,PR,prototanium
326,1100,DigiCube,CUBE,digicube
327,1104,Augur,REP,augur
328,1106,StrongHands,SHND,stronghands
329,1107,PACcoin,$PAC,paccoin
330,1109,Elite,1337,1337coin
331,1110,Money,$$$,money
332,1111,SOILcoin,SOIL,soilcoin
333,1113,SecretCoin,SCRT,secretcoin
334,1120,DraftCoin,DFT,draftcoin
335,1123,OBITS,OBITS,obits
336,1125,Synereo,AMP,synereo
337,1128,GBCGoldCoin,GBC,gbcgoldcoin
338,1131,X2,X2,x2
339,1135,ClubCoin,CLUB,clubcoin
340,1136,Adzcoin,ADZ,adzcoin
341,1139,MindCoin,MND,mindcoin
342,1141,Moin,MOIN,moin
343,1146,AvatarCoin,AV,avatarcoin
344,1147,RussiaCoin,RC,russiacoin
345,1148,EverGreenCoin,EGC,evergreencoin
346,1153,Creditbit,CRB,creditbit
347,1154,Radium,RADS,radium
348,1155,Litecred,LTCR,litecred
349,1156,Yocoin,YOC,yocoin
350,1159,SaluS,SLS,salus
351,1164,Francs,FRN,francs
352,1165,Evil Coin,EVIL,evil-coin
353,1168,Decred,DCR,decred
354,1169,PIVX,PIVX,pivx
355,1172,Safe Exchange Coin,SAFEX,safe-exchange-coin
356,1175,Rubies,RBIES,rubies
357,1176,Asiadigicoin,ADCN,asiadigicoin
358,1180,Destiny,DES,destiny
359,1182,KiloCoin,KLC,kilocoin
360,1185,TrumpCoin,TRUMP,trumpcoin
361,1191,Memetic / PepeCoin,MEME,memetic
362,1193,C-Bit,XCT,c-bit
363,1194,Independent Money System,IMS,independent-money-system
364,1195,HOdlcoin,HODL,hodlcoin
365,1198,BigUp,BIGUP,bigup
